α	Pr	α
μέλψασα	v-sapafn-	μέλπω
μεμπτὰ	a-p---na-	μεμπτός
μέμψασθαι	v--anm---	μέμπτω
Μενέλα	n-s---mg-	Μενέλης
Μενέλα	n-s---mv-	Μενέλης
μείναντες	v-papamn-	μένω
μείνας	v-sapamn-	μένω
μείνατε	v2pama---	μένω
μερί	Nb	μερί
μέριμν	V-	μέριμν
μεσημβρίας	Nb	μεσημβρία
μέσα	a-p---nn-	μέσος
μέσας	a-p---fa-	μέσος
μέσσαν	a-s---fa-	μέσσος
μέσσαν	n-s---fa-	μέσσος
μέσσαν	a-p---fg-	μέσσος
μεταιχμίοις	A-	μεταιχμίοις
μεταλλαγαὶ	V-	μεταλλαγά
μεταρσία	A-	μεταρσίος
μεταρσίων	A-	μετάρσιος
μετασχεῖν	v--ana---	μετέχω
μετασχὼν	v-sapamn-	μετέχω
μετρίας	A-	μετρῖος
μετρίας	a-s---fg-	μετρῖος
μετρίων	a-p---ng-	μετρῖος
μέτρα	n-p---na-	μέτρον
μέχρις	G-	μέχρι
μηδένα	Px	μηδείς
μηδενὶ	Px	μηδείς
μησάμενον	v-sapmma-	μηθέω
μάκει	n-s---nd-	μῆκος
μηλονόμας	n-p---fa-	μηλονόμη
μάν	d--------	μήν
μάν	v2spia---	μήν
μάν	g--------	μήν
μὰν	g--------	μήν
μάτηρ	n-s---ma-	μήτηρ
μάτηρ	n-s---mn-	μήτηρ
μάτηρ	n-s---fa-	μήτηρ
μάτηρ	d--------	μήτηρ
μάτηρ	n-s---fn-	μήτηρ
Μάτηρ	n-s---fn-	μήτηρ
ματρὶ	n-s---fd-	μήτηρ
ματρὸς	n-s---fg-	μήτηρ
Ματρὸς	n-s---fg-	μήτηρ
μητέρα	n-s---fa-	μήτηρ
μητέρας	n-p---fa-	μήτηρ
μητρί	n-s---fd-	μήτηρ
μητρὶ	n-s---fd-	μήτηρ
μητρῴαν	a-s---fa-	μητρῷος
μηχανᾶσθε	V-	μηχανᾶμαι
μιᾶι	Ma	μιᾶ
μιᾶι	Ma	μιᾶι
μιγάσιν	Nb	μιγάς
μινύρεσθαι	V-	μινύρεσθαι
μισούμεθ’	V-	μισούμεθ’
μνας	n-s---fg-	μνη
μνας	Nb	μνη
μογερά	a-s---fn-	μογερός
μογερὰ	a-s---fn-	μογερός
μογερὰ	a-p---nn-	μογερός
μοίρας	Nb	μοῖρα
Μολοσσίαν	a-s---fa-	Μολοσσῖος
μολπὰς	n-p---fa-	μολπή
μομφὰν	n-s---fa-	μομφή
μομφὰς	n-p---fa-	μομφή
μονα	a-p---na-	μονος
μονα	A-	μονος
μόνα	a-p---na-	μόνος
μόνα	A-	μόνος
μόνα	a-s---fn-	μόνος
μόνα	a-d---fn-	μόνος
μόναν	a-s---fa-	μόνος
μόνας	a-p---fa-	μόνος
μόραν	n-s---ma-	μόρης
μορφάς	n-p---fa-	μορφή
μορφὰς	n-p---fa-	μορφή
μορφώμασιν	Nb	μορφώμασιν
μα	d--------	μος
μα	a-p---na-	μος
μοσχείαν	a-s---fa-	μοσχεῖος
μοχθήσας	v-sapamn-	μοχθέω
μα	n-s---ma-	μς
μύθοις	n-p---md-	μῦθος
μύθοισι	n-p---md-	μῦθος
μύθου	n-s---mg-	μῦθος
μύθους	n-p---ma-	μῦθος
μύθῳ	n-s---md-	μῦθος
μύθων	n-p---mg-	μῦθος
μυκήμαθ	V-	μυκήμαθ
Μυκηναίων	A-	Μυκηναίων
Μυκόνου	Ne	Μυκόνου
μυρία	A-	μυρίος
μυρίου	A-	μυρῖος
μυχόν	Nb	μυχόν
νάξεται	V-	νάγω
ναῒ	I-	ναῒ
νάρθηκος	Nb	νάρθηκος
νάσου	Ne	νάσος
να	F-	νατε
νεάζων	V-	νεάζω
νεαροῖς	A-	νεαρός
νεότας	n-s---fg-	νεός
νέαν	a-s---fa-	νέος
νέας	a-p---fa-	νέος
νέας	a-s---fg-	νέος
νεώτατος	a-s---mns	νέος
νεωτέρας	a-s---fgc	νέος
νερτέρας	a-p---fa-	νερτέρη
νερτέρα	a-s---fn-	νερτέρος
νεφέλας	n-p---fa-	νεφέλη
νήσαντες	v-papamn-	νέω
ναν	n-s---fa-	νη
νας	n-p---fn-	νη
νας	n-p---ma-	νη
νας	a-p---fa-	νη
νας	v-pppafa-	νη
νας	n-p---fa-	νη
νας	n-s---fg-	νη
νας	v-sapamn-	νη
νηδύν	Nb	νηδύν
νηλέα	a-p---nn-	νηλής
Νι	x--------	Νι
νικᾶι	V-	νικᾶι
νικώμενοι	V-	νικάω
νιν	Pp	νιν
νοήσας	v-sapamn-	νοέω
νομίζετ’	V-	νομίζετ’
νομίζῃ	V-	νομίζω
ναν	a-s---fa-	νος
ναν	n-s---fa-	νος
νοσήσας	v-sapamn-	νοσέω
νοσησάσης	v-sapafg-	νοσέω
νοστήσας	v-sapamn-	νοστέω
νυμφείων	A-	νυμφείων
Νύμφαι	Nb	νύμφη
νύμφη	Nb	νύμφη
νυν	Df	νυν
νυ	d--------	νῦν
νύν	d--------	νῦν
σουσά	v-sapafn-	νω
ξανθῶι	A-	ξανθῶι
ξένα	a-p---na-	ξένος
ξέναν	a-s---fa-	ξένος
ξένας	a-s---fg-	ξένος
ξένας	a-p---fa-	ξένος
ξένας	a-p---fd-	ξένος
ἐξεσώσαμεν	v1paia---	ξεσώλω
ξηρὰ	a-s---fn-	ξηρός
ξηρὰν	a-s---fa-	ξηρός
ξίφη	Nb	ξίφη
ξας	v2sfia---	ξλω
ξας	v-sapamn-	ξλω
ξας	v2saia---	ξλω
ξότας	n-p---fa-	ξός
ξυλουργίαν	Nb	ξυλουργίαν
ξυμμαρτυρῆις	V-	ξυμμαρτυρῆις
ξυνθήμαθ	V-	ξυνθήμαθ
ξυνίσταθ	V-	ξυνίσμθ
ἁ	g--------	ὁ
ἁ	n-s---md-	ὁ
ἁ	p-p---nn-	ὁ
ἁ	a-p---fn-	ὁ
ἁ	p-p---na-	ὁ
ἁ	v1spsa---	ὁ
ἁ	i--------	ὁ
ἁ	v1spia---	ὁ
ἁ	p-s---fn-	ὁ
ἁ	p-s---mn-	ὁ
ἁ	p-s---fd-	ὁ
ἁ	n-s---mn-	ὁ
ἁ	l-s---fn-	ὁ
ἁ	Pr	ὁ
ἁ	n-s---fn-	ὁ
Ἁ	l-s---fn-	ὁ
Ἁ	p-s---fn-	ὁ
ἃ	p-p---nn-	ὁ
Αἱ	l-p---fn-	ὁ
Οἱ	p-p---mn-	ὁ
Οἱ	l-p---mn-	ὁ
τά	p-p---na-	ὁ
τά	S-	ὁ
τά	l-p---na-	ὁ
τά	p-p---nn-	ὁ
τά	l-p---nn-	ὁ
Τά	p-p---na-	ὁ
τὰ	p-p---na-	ὁ
τὰ	S-	ὁ
τὰ	p-p---nn-	ὁ
τὰ	l-p---na-	ὁ
τὰ	l-p---nn-	ὁ
Τὰ	S-	ὁ
Τὰ	l-p---na-	ὁ
Τὰ	l-p---nn-	ὁ
τάν	p-s---fa-	ὁ
τάν	l-s---fa-	ὁ
τὰν	l-s---fa-	ὁ
τὰν	p-p---na-	ὁ
τὰν	p-s---fa-	ὁ
τάς	p-p---fa-	ὁ
τάς	l-p---fa-	ὁ
τάς	--p---fa-	ὁ
τὰς	S-	ὁ
τὰς	p-p---fa-	ὁ
τὰς	l-p---fa-	ὁ
Τὰς	l-p---fa-	ὁ
Ὄγκα	n-s---fd-	Ὄγκη
Ὄγκας	n-p---fa-	Ὄγκη
ἅδ	p-s---fn-	ὅδ
τάδ	a-p---na-	ὅδ
τάδ	p-p---nn-	ὅδ
τάδ	p-p---na-	ὅδ
τάνδ	p-s---fa-	ὅδ
τάσδ	p-p---fa-	ὅδ
τάδ’	p-p---na-	ὅδ’
τάδ’	p-p---nn-	ὅδ’
τάσδ’	p-p---fa-	ὅδ’
ἅδε	p-s---fn-	ὅδε
Αἵδε	p-p---fn-	ὅδε
τάδε	u--------	ὅδε
τάδε	p-s---fd-	ὅδε
τάδε	p-p---nn-	ὅδε
τάδε	p-p---na-	ὅδε
Τάδε	p-p---na-	ὅδε
Τάδε	p-p---nn-	ὅδε
τάνδε	p-s---fa-	ὅδε
τάσδε	a-p---fa-	ὅδε
τάσδε	Pd	ὅδε
τάσδε	p-p---fa-	ὅδε
ὀδυνηρὸς	A-	ὀδυνηρός
Οἲ	Pr	Οἲ
ἴστω	V-	οἶδα
Οἰδίπους	Ne	οἰδίπους
Οἰκλέους	Nb	Οἰκλέος
Οἰκλέους	Nb	Οἰκλέους
οἰκτίρας	V-	οἰκτείρω
οἰκτίραθ	V-	οἰκτίραθ
Οἴμ	V-	Οἴμ
οἵα	a-p---nn-	οἷος
οἵα	Pr	οἷος
οἵα	a-s---fn-	οἷος
οἵα	a-p---na-	οἷος
οἵαν	a-s---fa-	οἷος
Οἵαν	a-s---fa-	οἷος
οἵας	n-p---fa-	οἷος
οἵας	a-s---fg-	οἷος
οἵας	Pr	οἷος
οἵας	a-p---ma-	οἷος
οἵας	a-p---fa-	οἷος
ὀλβία	A-	ὀλβίας
ὀλβίας	a-s---fg-	ὀλβῖος
ὀλβίου	a-s---mg-	ὀλβῖος
ὀλβοδόταν	n-s---ma-	ὀλβοδότης
ὀλέσασα	v-sapafn-	ὀλέζω
ὠλεκόμαν	v1siie---	ὀλέκω
ὄλλυσθαι	V-	ὄλλυσθαι
ὀλοὰ	a-p---na-	ὀλοός
ὀλοὰ	a-p---nn-	ὀλοός
ὀλοὰς	a-p---fa-	ὀλοός
Ὀλύμπιοι	A-	Ὀλύμπιος
ὁμαρτεῖτ	V-	ὁμαρτεῖτ
ὁμευνέτας	Nb	ὁμευνέτης
ὁμιλίας	Nb	ὁμιλία
ὄμματα	Nb	ὄμμα
ὄμματος	Nb	ὄμμα
ὄμμασιν	Nb	ὄμμασιν
ὄμματ	Nb	ὄμματ
ὄμματα	Nb	ὄμματα
ὄμνυ	V-	ὄμνυμι
ὁμοιοτάταν	a-s---fas	ὁμοῖος
ὁμοίας	A-	ὅμοιος
ὁμοκλήσαντες	v-papamn-	ὁμοκλέω
Ὁμόλας	n-p---fa-	Ὁμόλη
ὀμφὰν	n-s---fa-	ὀμφή
ὀμφὰς	n-p---fa-	ὀμφή
ὠνείδισας	V-	ὀνειδίζω
ὀνύχων	n-p---mg-	ὀνῦχος
ὄνασθαι	v--pne---	ὄνω
ὄνασθαι	v--anm---	ὄνω
ὀπαδοί	a-p---mv-	ὀπηδός
ὁπλίζει	V-	ὁπλίζω
ὅπλα	n-p---na-	ὅπλον
ὅπλα	Nb	ὅπλον
ὅπλα	n-p---nn-	ὅπλον
ὁποίας	p-s---fg-	ὁποῖος
ὁποίας	a-s---fg-	ὁποῖος
ὁπόσα	a-p---na-	ὁπόσος
ὀπτάς	a-p---fa-	ὀπτή
ὀργά	n-s---fn-	ὀργή
ὀργάς	n-p---fa-	ὀργή
ὀργὰς	n-p---fa-	ὀργή
ὀρέξας	v-sapamn-	ὀρέγω
ὀρεία	A-	ὀρεία
ὀρείας	Nb	ὀρεῖα
ὀρέξατε	v2pama---	ὀρέξω
Ὀρεστέρα	A-	Ὀρεστέρα
Ὀρέστα	n-s---mv-	ὀρέστης
Ὀρέστας	n-p---ma-	Ὀρέστης
ὀρθίοις	a-p---md-	ὀρθῖος
ὀρθίων	a-p---ng-	ὀρθῖος
ὀρθά	a-p---na-	ὀρθός
ὀρθὰ	a-p---na-	ὀρθός
ὀρθὰς	a-p---fa-	ὀρθός
ὀρθώματα	Nb	ὀρθώματα
ὁρκωμοτήσας	v-sapamn-	ὁρκωμοτέω
ὁρμήσας	v-sapamn-	ὁρμέω
ὁρμά	n-s---fn-	ὁρμή
ὄρνιθος	Nb	ὄρνις
ὄρνις	Nb	ὄρνις
ὄρνισιν	Nb	ὄρνις
ὁρώσας	v-sapamn-	ὁρόω
ὁρώσας	V-	ὁρόω
ὀρρωδία	V-	ὀρρωδία
ὄρφνα	a-p---nn-	ὄρφνος
α	a-p---na-	ος
αν	R-	ος
ας	a-p---fa-	ος
ἅ	l-s---fn-	ὅς
ἅ	p-p---na-	ὅς
ἅ	p-s---fn-	ὅς
ἅ	g--------	ὅς
ἅ	n-p---mn-	ὅς
ἅ	p-p---nn-	ὅς
ἅ	p-s---fd-	ὅς
Ἅ	a-s---mn-	ὅς
Ἅ	p-p---na-	ὅς
ἃ	p-s---fn-	ὅς
ἃ	Pr	ὅς
ἃ	i--------	ὅς
ἃ	p-p---nn-	ὅς
ἃ	p-s---fd-	ὅς
ἃ	l-s---fn-	ὅς
ἃ	p-p---na-	ὅς
Ἃ	Pr	ὅς
Ἃ	p-p---na-	ὅς
ἃν	g--------	ὅς
ἃν	c--------	ὅς
ἃν	p-p---na-	ὅς
ἃν	d--------	ὅς
ἃν	p-s---fa-	ὅς
ἃν	r--------	ὅς
Ἃν	c--------	ὅς
ἅπερ	a-p---na-	ὅς
ἅπερ	a-p---nn-	ὅς
ἅπερ	p-p---nn-	ὅς
ἅπερ	c--------	ὅς
ἅπερ	p-p---na-	ὅς
ἅς	p-p---fa-	ὅς
ἃς	p-p---fa-	ὅς
ἃς	p-s---fg-	ὅς
ἅσπερ	p-p---fa-	ὅς
Οἵ	p-p---mn-	ὅς
ὁσία	a-s---fn-	ὁσῖος
ὁσίαν	a-s---fa-	ὁσῖος
ὁσίας	a-s---fg-	ὁσῖος
ὁσίας	a-p---fa-	ὁσῖος
ὁσίου	a-s---mg-	ὁσῖος
ὅσια	A-	ὅσιος
ὁσίων	A-	ὅσιος
ὁσιοῦσθ’	V-	ὁσιοῦσθ’μι
ὅσα	Pr	ὅσος
ὅσα	a-p---nn-	ὅσος
ὅσα	a-p---na-	ὅσος
ὅσας	a-p---fa-	ὅσος
ὅσσα	a-p---na-	ὅσος
Ὄσσας	n-p---fa-	Ὄσση
ὅσσας	a-p---fa-	ὅσση
ἥτις	Pr	ὅστις
οἵτινες	Pr	ὅστις
οἵτινές	Pr	ὅστις
ὅστις	Pr	ὅστις
ὅταν	G-	ὅταν
ὅταν	Dq	ὅταν
Ὅταν	Dq	ὅταν
ὅτι	G-	ὅτι
Οὐ	Df	οὐ
οὐχὶ	Df	οὐ
Οὐδεὶς	Px	οὐδείς
οὐδεμία	Px	οὐδείς
Οὐδὲν	Px	οὐδείς
οὐδενὶ	Px	οὐδείς
οὐκέτι	Df	οὐκέτι
οὔριον	A-	οὔριον
ὠσὶ	n-p---nd-	οὖς
ὠσὶν	n-p---nd-	οὖς
οὕστινας	Px	οὕστις
Οὔτ	C-	Οὔτ
οὔτι	Df	οὔτι
οὔτι	x--------	οὔτι
ταύταν	a-s---fa-	οὗτον
Αὕτη	a-s---fn-	οὗτος
ταύτας	a-p---fa-	οὗτος
Ταύτας	a-p---fa-	οὗτος
ὀφθαλμὸν	Nb	ὀφθαλμός
ὄχθας	n-p---fa-	ὄχθη
ὄπα	n-s---fa-	ὄψ
ὅπα	n-s---fa-	ὅψ
ὀψοίαθ	V-	ὀψοίαθ
πτα	n-p---na-	π
Πάγγαιον	Ne	παγγαῖον
παγέντας	V-	παγέντας
παιδαγώγ	Nb	παιδαγώγ
πακούσας	V-	πακούω
παλαιὰ	A-	παλαιός
παλαιᾷ	A-	παλαιός
παλαιὰν	A-	παλαιός
παλιγκότων	A-	παλιγκότων
παλίρρους	A-	παλίρρους
Πανδίονος	Ne	πανδίων
πάνθ	Px	πάνθ
Πάνθ	Px	Πάνθ
πανουργίας	Nb	πανουργία
πάντ	Px	πάντ
παντευχίαν	Nb	παντευχία
παπαῖ	V-	παπαῖ
παππαπαππαπαππαπαῖ	F-	παππαπαππαπαππαπαῖ
παρ’	R-	παρά
παράγει	V-	παράγω
παρακαλοῦντες	V-	παρακαλέω
παρακοπὰ	Nb	παρακοπόν
παράκτιοι	A-	παράκτιος
πάρεστι	V-	πάρειμι
παρόντα	V-	πάρειμι
παρεργάτης	Nb	παρεργάτης
πάρεσθ	V-	πάρεσθ
παρεσκευάσμεθ	V-	παρεσκευάσμεθ
παρέστω	V-	παρέστωμι
παρεστὼς	V-	παρεστὼς
παρευτρεπίζετε	V-	παρευτρεπίζω
παρέφερον	V-	παρέφερον
παρέχων	V-	παρέχω
παρηγγύων	V-	παρηγγύων
παρῆσθ	V-	παρῆσθ
παρθενίαν	Nb	παρθενία
παρθένον	Nb	παρθένον
παρθένοι	Nb	παρθένος
παρθένοις	Nb	παρθένος
παρθένον	Nb	παρθένος
παρθένους	Nb	παρθένος
παρθένωι	Nb	παρθένω
παρθενῶσι	Nb	παρθενών
Πάρις	Ne	πάρις
πάροιθεν	R-	πάροιθε
παρουσίαν	Nb	παρουσία
παροῦσιν	Ne	παροῦσιν
πάντα	Px	πᾶς
πάντα	a-p---na-	πᾶς
πάντα	a-s---ma-	πᾶς
πάντα	a-p---nn-	πᾶς
Πάντα	a-p---na-	πᾶς
πάντας	a-p---ma-	πᾶς
πάντες	a-p---mn-	πᾶς
πάντες	a-p---mv-	πᾶς
Πάντες	a-p---mn-	πᾶς
παντί	Px	πᾶς
παντί	a-s---md-	πᾶς
παντί	a-s---nd-	πᾶς
παντὶ	Px	πᾶς
παντὶ	a-s---md-	πᾶς
παντὶ	a-s---nd-	πᾶς
παντός	a-s---ng-	πᾶς
παντὸς	a-s---ng-	πᾶς
παντὸς	a-s---mg-	πᾶς
πάντων	Px	πᾶς
πάντων	a-p---ng-	πᾶς
πάντων	a-p---mg-	πᾶς
πάσαις	a-p---fd-	πᾶς
πασᾶν	a-p---fg-	πᾶς
πασᾶν	a-s---fa-	πᾶς
πάσας	a-p---fa-	πᾶς
πάσας	a-s---fg-	πᾶς
πάσῃ	a-s---fd-	πᾶς
πάσης	a-s---fg-	πᾶς
πασῶν	a-p---fg-	πᾶς
πάσηι	Px	πάσηι
πασσάλευ	V-	πασσάλευ
πάσχον	V-	πάσχω
πάσχω	V-	πάσχω
πατέρ	Nb	πατέρ
πατέρα	Nb	πατήρ
πατρί	Nb	πατήρ
πατρός	Nb	πατήρ
πατρὸς	Nb	πατήρ
πατοῖθ’	V-	πατοῖθ’μι
πατρῶια	Ps	πατρῶια
πατρώιας	A-	πατρώιας
πατρῴους	Ps	πατρῴους
παύσας	V-	παύω
πέδας	n-p---fa-	πέδη
πεδιήρεις	A-	πεδιήρεις
πάθητε	v2pama---	πέθνω
πέλας	Df	πέλας
Πελοπίδαις	n-p---md-	Πελοπ́δης
Πελοπίας	n-s---fg-	Πελοπῖος
πέλτας	n-p---fa-	πέλτη
πεμπαστὰν	V-	πεμπαστὰν
Κἀπεμπόμην	v1siie---	πέμπω
πεμφθέντα	v-sappma-	πέμπω
πέμψαντά	v-sapama-	πέμπω
πέμψαντας	v-papama-	πέμπω
πέμψαντες	v-papamn-	πέμπω
πέμψαντος	v-sapamg-	πέμπω
πέμψας	v-sapamn-	πέμπω
πέμψασά	v-sapafn-	πέμπω
πέμψασθαί	v--anm---	πέμπω
πέμψασιν	v-papamd-	πέμπω
πέμψατε	V-	πέμπω
πέμψατε	v2paia---	πέμπω
Πενθέα	Nb	Πενθέα
πενίαι	Nb	πενία
πεπαμένῳ	V-	πεπαμένῳ
πεπλωκότα	v-srpama-	πεπλωκώς
πεπραγμέν	V-	πεπραγμέν
πέπρακται	V-	πέπρακται
πέρσας	v-sapamn-	πέρθω
περὶ	R-	περί
περίβαλε	V-	περίβαλε
περιβάλησθε	V-	περιβάλω
πέριξ	R-	πέριξ
περισσῶν	A-	περισσός
περόνας	Nb	περόνη
Περσέα	n-s---ma-	Περσές
Περσεφόνας	n-p---fa-	Περσεφόνη
πέρσαν	n-s---ma-	πέρσης
πέρσας	n-p---ma-	πέρσης
πέρσαντες	v-papamn-	πέρω
πέρσαντι	v-sppamd-	πέρω
πέρσαντος	v-sapamg-	πέρω
πέτρα	Nb	πέτρα
πέτρας	Nb	πέτρα
πετομένας	v-pppefa-	πέτω
πεύκας	Nb	πεύκας
πεφηνότι	V-	πεφηνότι
πα	n-s---fa-	πη
πηγάς	Nb	πηγάς
παγὰ	n-s---fn-	πηγή
πηγὰς	n-p---fa-	πηγή
πηδαλίωι	Nb	πηδαλίω
πηδήσας	v-sapamn-	πηδέω
πηδήσασα	v-sapafn-	πηδέω
πήμασιν	Nb	πήμα
πημονὰν	n-s---fa-	πημονή
πημονὰς	n-p---fa-	πημονή
παθόντας	v-papama-	πθήσκω
πὶ	R-	πὶ
Πιερία	Ne	Πιερία
πικρὰν	A-	πικρός
πικρὸς	A-	πικρός
πικρῶς	Df	πικρῶς
ἔπιπτον	V-	πίπτω
πίπτει	V-	πίπτω
πὶ	x--------	πίς
πίστ	A-	πίστ
πιστεύεθ	V-	πιστεύεθ
πιστοῖσι	A-	πιστός
πιστὸν	A-	πιστός
πισχήσει	V-	πισχέω
πλανάτας	Nb	πλανάτης
πλάνωι	V-	πλάνωι
πλανώμενος	V-	πλανώμενος
πλάταις	Nb	πλάταις
πλείστας	a-p---fa-	πλεῖστος
πλεκτά	a-p---na-	πλεκτός
πλεκτὰν	a-s---fa-	πλεκτός
πλεκτὰς	a-p---fa-	πλεκτός
πλευρὰν	Nb	πλευρά
πλεύσαντες	v-papamn-	πλέω
πλεύσας	v-sapamn-	πλέω
πλέα	a-p---nn-	πλέως
πληγάς	n-p---fa-	πληγή
πληγὰς	n-p---fa-	πληγή
πλημμελήσας	v-sapamn-	πλημμελέω
πληρέστατον	a-s---nas	πληρής
πληρώσαντες	v-papamn-	πληρόω
πλησίον	Df	πλησίον
πληγέντα	v-sappma-	πλήσσω
πλοκάς	n-p---ma-	πλοκή
πλοκὰς	n-p---fa-	πλοκή
πλούσιός	A-	πλούσιος
πνεύματι	Nb	πνεύματι
πνεύσας	v-sapamn-	πνέω
πνοάς	n-p---fa-	πνοή
πνοὰς	n-p---fa-	πνοή
πνοὰ	n-s---fa-	πνοόν
πόδα	Nb	πόδα
ποδαγὸς	n-s---mn-	ποδηγός
πόας	n-p---ma-	πόη
ποία	a-s---fn-	ποῖος
ποίαν	a-s---fa-	ποῖος
Ποίαν	a-s---fa-	ποῖος
ποίας	a-p---fa-	ποῖος
ποίας	a-s---fg-	ποῖος
Ποίας	a-p---fa-	ποῖος
Ποίας	a-s---fg-	ποῖος
πολεμίαν	a-s---fa-	πολεμῖος
πολεμίαν	n-s---fa-	πολεμῖος
πολεμίας	a-p---fa-	πολεμῖος
πολεμίας	a-s---fg-	πολεμῖος
πολεμίοισιν	a-p---md-	πολεμῖος
πολέα	a-s---fn-	πολής
πολιὰ	A-	πολιός
πόλιν	Nb	πόλις
πολιτῶν	Nb	πολίτης
πολλάκις	Df	πολλάκις
Πολυνείκη	Ne	Πολυνείκη
πολλά	A-	πολύς
πολλὰ	A-	πολύς
πολὺ	A-	πολύς
πολύν	A-	πολύς
πονήσας	v-sapamn-	πονέω
πονηρά	a-p---nn-	πονηρός
πονηρὰ	a-p---na-	πονηρός
πονηράν	a-s---fa-	πονηρός
πονηρὰν	a-s---fa-	πονηρός
πονηρὰς	a-p---fa-	πονηρός
ποντα	n-p---na-	πονς
ποντία	a-s---fv-	ποντῖος
ποντίαισιν	a-p---fd-	ποντῖος
ποντίας	a-p---fa-	ποντῖος
ποντίας	a-s---fg-	ποντῖος
ποντίοις	a-p---nd-	ποντῖος
ποντίῳ	a-s---nd-	ποντῖος
ποντίων	a-p---ng-	ποντῖος
ποντίου	Ne	πόντιος
ποντίωι	A-	ποντίω
ποντίωι	Ne	ποντίω
πόρπας	n-p---fa-	πόρπη
πόσιν	Nb	πόσιν
πόσι	Nb	πόσις
πόσιν	Nb	πόσις
πόσις	Nb	πόσις
πόσα	a-p---na-	πόσος
πόσας	a-p---fa-	πόσος
πότνι	R-	πότνι
ποτά	n-s---md-	ποτός
πόδα	Nb	πού
πόδα	Nb	πούς
ποσὶν	Nb	πούς
πόσιν	Nb	πούς
πεπλαγμένους	v-prpema-	ππλέγλω
πραγμάτων	Nb	πρᾶγμα
πράγη	n-p---na-	πρᾶγος
πράξω	V-	πράξω
πρέσβυς	Nb	πρέσβυς
πρὶν	G-	πρίν
προβαλοῦ	V-	προβαλοῦμι
πρόβα	v2spma---	πρόβη
προβολὰ	n-s---fn-	προβολή
προδόταν	n-s---ma-	προδότης
προδότας	v-papama-	προδότης
προδότας	n-p---ma-	προδότης
προθανεῖν	v--ana---	προθνήσκω
προκάμητε	V-	προκάμητε
προκηρύσσει	V-	προκηρύσσω
προοιμίοις	A-	προοιμίοις
προπέμψαντες	v-papamn-	προπέμπω
προπέμψας	v-sapamv-	προπέμπω
προπέμψατε	v2paia---	προπέμπω
προπέμψατε	v2pama---	προπέμπω
προπονουμένας	v-sppefg-	προπονέω
προπότας	n-p---ma-	προπότης
ποτι	r--------	προς
ποτὶ	r--------	πρός
προσβλέψας	v-sapamn-	προσβλέπω
προσβλέψασά	v-sapafn-	προσβλέπω
προσβολάς	n-p---fa-	προσβολή
προσβολὰς	n-p---fa-	προσβολή
προσδοκητά	V-	προσδοκητος
προσιδεῖν	v--ana---	προσεῖδον
προσηγορήσας	v-sapamn-	προσηγορέω
προσίστανται	V-	προσίστημι
προσκυνοῦντες	V-	προσκυνέω
προσκυνοῦνθ	V-	προσκυνοῦνθ
προσόντα	V-	προσόντα
προσπέμψαντά	v-sapama-	προσπέμπω
προσπέμψας	v-sapamn-	προσπέμπω
προστραπέσθαι	v--anm---	προστρέπω
προσωτάτω	d--------	πρόσω
προτέρα	a-s---fn-	προτέρος
προτέραν	a-s---fa-	πρότερος
προτέρας	a-p---fa-	πρότερος
πρώτας	a-p---fas	πρότερος
προτιμήσῃς	V-	προτιμέω
προφήτας	n-p---ma-	προφήτης
προχοὰς	n-p---fa-	προχοή
πρώτα	a-p---na-	πρώτος
πρώτα	a-p---nas	πρώτος
πρώτας	a-p---fa-	πρῶτος
πτέρυγι	Nb	πτέρυγ
πτερωτὰ	a-p---na-	πτερωτός
πτερωτὰ	a-p---nn-	πτερωτός
πτερωτὰς	a-p---fa-	πτερωτός
πτήξας	v-sapamn-	πτήζω
πτανοῖς	v2saoa---	πτηνός
πτωχὰς	a-p---fa-	πτωχός
Πύλου	Ne	πύλος
πυρί	n-s---nd-	πῦρ
πυρὶ	n-s---nd-	πῦρ
πυρὶ	Nb	πῦρ
πυρός	n-s---ng-	πῦρ
πυρὸς	n-s---ng-	πῦρ
πύργωμα	Nb	πύργωμα
πυρί	Nb	πυρί
ῥάιδια	V-	ῥάιδια
ῥέξας	v-sapamn-	ῥέδω
Ῥέας	n-s---fg-	Ῥέη
Ῥέας	v-sapamn-	Ῥέη
ρήναν	n-s---fa-	ρήνη
ῥήξασα	v-sapafn-	ῥήσσω
ῥητά	a-p---na-	ῥητος
ῥίζας	Nb	ῥίζα
ῥίζωμ	Nb	ῥίζωμ
ῥινηλατούσῃ	V-	ῥινηλάτω
ῥίπτετ	V-	ῥίπτετ
ῥίπτων	V-	ῥίπτων
ῥοάς	n-p---fa-	ῥοή
ῥοὰς	Nb	ῥοή
ῥοὰς	n-p---fa-	ῥοή
ῥοπάς	Nb	ῥοπάς
ροισι	n-p---md-	ρος
ῥύεσθε	V-	ῥύεσθε
ῥυσίων	Nb	ῥύσιος
ῥυσίου	A-	ῥυσίου
δα	n-s---fa-	ς
σιν	v3ppia---	ς
σιν	v-papamd-	ς
σιν	n-s---fa-	ς
σιν	d--------	ς
σιν	n-p---fd-	ς
σα	Ps	σα
σαγή	Nb	σαγή
σάλου	Nb	σάλος
σαρκὶ	Nb	σάρξ
σας	A-	σας
σατίνας	Nb	σατίνη
σάφ	Df	σάφ
σαφεστέρας	A-	σαφεστέρας
σαφῆ	A-	σαφής
σαφῶς	Df	σαφής
σεβίζῃ	V-	σεβίζω
σελήνας	Nb	σελήνας
σελήνας	n-p---fa-	σελήνη
